orderId,customerId,item,quantity
SP.POP.DPND.YG,CSS,"Age dependency ratio, young (% of working-age population)",1960
SP.DYN.CBRT.IN,CSS,"Birth rate, crude (per 1,000 people)",1960
EN.ATM.CO2E.KT,CSS,CO2 emissions (kt),1960
EN.ATM.CO2E.PC,CSS,CO2 emissions (metric tons per capita),1960
EN.ATM.CO2E.GF.ZS,CSS,CO2 emissions from gaseous fuel consumption (% of total),1960
EN.ATM.CO2E.LF.ZS,CSS,CO2 emissions from liquid fuel consumption (% of total),1960
EN.ATM.CO2E.LF.KT,CSS,CO2 emissions from liquid fuel consumption (kt),1960
EN.ATM.CO2E.SF.ZS,CSS,CO2 emissions from solid fuel consumption (% of total),1960
SP.DYN.CDRT.IN,CSS,"Death rate, crude (per 1,000 people)",1960
NE.EXP.GNFS.CD,CSS,Exports of goods and services (current US$),1960
SP.DYN.TFRT.IN,CSS,"Fertility rate, total (births per woman)",1960
NY.GDP.MKTP.CD,CSS,GDP at market prices (current US$),1960
NY.GDP.PCAP.CD,CSS,GDP per capita (current US$),1960
NY.GNP.MKTP.CD,CSS,GNI (current US$),1960
NE.GDI.TOTL.CD,CSS,Gross capital formation (current US$),1960
SH.MED.BEDS.ZS,CSS,"Hospital beds (per 1,000 people)",1960
SM.POP.TOTL.ZS,CSS,International migrant stock (% of population),1960
SM.POP.TOTL,CSS,"International migrant stock, total",1960
SP.DYN.LE00.FE.IN,CSS,"Life expectancy at birth, female (years)",1960
SP.DYN.LE00.MA.IN,CSS,"Life expectancy at birth, male (years)",1960
SP.DYN.LE00.IN,CSS,"Life expectancy at birth, total (years)",1960
TX.VAL.MRCH.CD.WT,CSS,Merchandise exports (current US$),1960
TX.VAL.MRCH.WL.CD,CSS,Merchandise exports by the reporting economy (current US$),1960
TX.VAL.MRCH.RS.ZS,CSS,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",1960
TX.VAL.MRCH.R1.ZS,CSS,Merchandise exports to developing economies in East Asia & Pacific (% of total merchandise exports),1960
TX.VAL.MRCH.R3.ZS,CSS,Merchandise exports to developing economies in Latin America & the Caribbean (% of total merchandise exports),1960
TX.VAL.MRCH.R4.ZS,CSS,Merchandise exports to developing economies in Middle East & North Africa (% of total merchandise exports),1960
TX.VAL.MRCH.R5.ZS,CSS,Merchandise exports to developing economies in South Asia (% of total merchandise exports),1960
TX.VAL.MRCH.R6.ZS,CSS,Merchandise exports to developing economies in Sub-Saharan Africa (% of total merchandise exports),1960
TX.VAL.MRCH.OR.ZS,CSS,Merchandise exports to developing economies outside region (% of total merchandise exports),1960
TX.VAL.MRCH.WR.ZS,CSS,Merchandise exports to developing economies within region (% of total merchandise exports),1960
TX.VAL.MRCH.AL.ZS,CSS,Merchandise exports to economies in the Arab World (% of total merchandise exports),1960
TX.VAL.MRCH.HI.ZS,CSS,Merchandise exports to high-income economies (% of total merchandise exports),1960
TM.VAL.MRCH.CD.WT,CSS,Merchandise imports (current US$),1960
TM.VAL.MRCH.WL.CD,CSS,Merchandise imports by the reporting economy (current US$),1960
TM.VAL.MRCH.RS.ZS,CSS,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",1960
TM.VAL.MRCH.R1.ZS,CSS,Merchandise imports from developing economies in East Asia & Pacific (% of total merchandise imports),1960
TM.VAL.MRCH.R3.ZS,CSS,Merchandise imports from developing economies in Latin America & the Caribbean (% of total merchandise imports),1960
TM.VAL.MRCH.R4.ZS,CSS,Merchandise imports from developing economies in Middle East & North Africa (% of total merchandise imports),1960
TM.VAL.MRCH.R5.ZS,CSS,Merchandise imports from developing economies in South Asia (% of total merchandise imports),1960
TM.VAL.MRCH.R6.ZS,CSS,Merchandise imports from developing economies in Sub-Saharan Africa (% of total merchandise imports),1960
TM.VAL.MRCH.OR.ZS,CSS,Merchandise imports from developing economies outside region (% of total merchandise imports),1960
TM.VAL.MRCH.WR.ZS,CSS,Merchandise imports from developing economies within region (% of total merchandise imports),1960
TM.VAL.MRCH.AL.ZS,CSS,Merchandise imports from economies in the Arab World (% of total merchandise imports),1960
TM.VAL.MRCH.HI.ZS,CSS,Merchandise imports from high-income economies (% of total merchandise imports),1960
TG.VAL.TOTL.GD.ZS,CSS,Merchandise trade (% of GDP),1960
IT.CEL.SETS,CSS,Mobile cellular subscriptions,1960
IT.CEL.SETS.P2,CSS,Mobile cellular subscriptions (per 100 people),1960
SP.DYN.AMRT.FE,CSS,"Mortality rate, adult, female (per 1,000 female adults)",1960
SP.DYN.AMRT.MA,CSS,"Mortality rate, adult, male (per 1,000 male adults)",1960
SP.DYN.IMRT.IN,CSS,"Mortality rate, infant (per 1,000 live births)",1960
SH.DYN.MORT,CSS,"Mortality rate, under-5 (per 1,000)",1960
DC.DAC.CANL.CD,CSS,"Net bilateral aid flows from DAC donors, Canada (current US$)",1960
DC.DAC.NLDL.CD,CSS,"Net bilateral aid flows from DAC donors, Netherlands (current US$)",1960
DC.DAC.TOTL.CD,CSS,"Net bilateral aid flows from DAC donors, Total (current US$)",1960
DC.DAC.GBRL.CD,CSS,"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",1960
DT.ODA.ODAT.GN.ZS,CSS,Net ODA received (% of GNI),1960
DT.ODA.ODAT.GI.ZS,CSS,Net ODA received (% of gross capital formation),1960
DT.ODA.ODAT.PC.ZS,CSS,Net ODA received per capita (current US$),1960
DT.ODA.ALLD.KD,CSS,Net official development assistance and official aid received (constant 2012 US$),1960
DT.ODA.ALLD.CD,CSS,Net official development assistance and official aid received (current US$),1960
DT.ODA.ODAT.KD,CSS,Net official development assistance received (constant 2012 US$),1960
DT.ODA.ODAT.CD,CSS,Net official development assistance received (current US$),1960
SP.POP.65UP.TO.ZS,CSS,Population ages 65 and above (% of total),1960
SP.POP.0014.TO.ZS,CSS,"Population, ages 0-14 (% of total)",1960
SP.POP.1564.TO.ZS,CSS,"Population, ages 15-64 (% of total)",1960
